en,fr
Warhead Stroll,Balade Atomique
Play,Jouer
By Paul Blanloeil - @cagibidev,Par Paul Blanloeil - @cagibidev
More games,Autres jeux
,
"Walk your dog, don't explode!
Made in two days for Ludum Dare #49","Promenez votre chien sans exploser !
Fait en 2 jours pour la Ludum Dare 49"
"This is a usual day for Old Roger.
Taking his dog for a walk, going to the grocery store.","C'est un jour normal pour le Père Roger.
Promener son chien, aller au marché."
"But times aren't easy for Old Roger.
You see, he has a little war wound.","Mais le Père Roger n'a pas la vie facile.
Voyez, il a une petite blessure de guerre."
"In fact, he is a literal warhead.","En fait, c'est littéralement une tête d'ogive."
"(kids are playing, conveniently offscreen)
KIDS: Hey, Old Roger's there! Hi Old Roger!","(des gamins jouent, hors champ)
GAMINS : Hé c'est le père Roger ! Salut père Roger !"
"OLD ROGER: Howdy kids! BOOM- ha, just kiddin!
KIDS: Always a good laugh, Old Roger! Haha!","PÈRE ROGER : Salut les petiots ! BOUM- ha, je déconne !
GAMINS : Toujours le mot pour rire, père Roger !"
"OLD ROGER: Now kids please keep yer distance a bit!
Lika say, am as full of kindness as am of plutonium!","PÈRE ROGER : Écartez-vous un ptit peu par contre !
Comme j'dis, j'ai autant de bonne humeur que de plutonium !"
"The street is busy with smoking cars.
Old Roger is looking for a name for the new dog.","La rue est pleine de voitures pétaradantes.
Le père Roger cherche un nom pour son chien."
"OLD ROGER: Bah! Ye don't need no name.
Oh those cars are dam' stinky this mornin.","PÈRE ROGER : Bah ! Pas besoin d'nom pour toi.
Oh, ces bagnoles sentent pas la rose c'matin."
"OLD ROGER: It'd be nice if they didn't smoke.
How 'bout nuclear cars? Ahahah, that'd be a mess. Accidents and all.","PÈRE ROGER : Ce s'rait bien si elles polluaient pas. Comme des
voitures nucléaires ! Haha, ce s'rait le bordel avec les accidents."
"OLD ROGER: Ah, I smell that. Bet ye smell that too.
Once in the butchery I'll take a salami for ye how's that sound?","PÈRE ROGER : Ah, je sens un truc. Tu le sens toi aussi hein !
Une fois à la boucherie j'te prendrai un bon saucisson ça t'va ?"
